software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,ann_finest_level,Ionocyte,561,0.3560371517027864,0.6764705882352942,0.12299465240641712,490751,33,492,69,3,"['ENSG00000143882', 'ENSG00000167085', 'ENSG00000160752']","['ENSG00000143882', 'ENSG00000143799', 'ENSG00000167085', 'ENSG00000160752', 'ENSG00000106244', 'ENSG00000010256', 'ENSG00000126698', 'ENSG00000044115', 'ENSG00000141002', 'ENSG00000116171']",0.08873924,fold_14
4.1,ann_finest_level,Tuft,165,0.011470925615459279,0.009312320916905445,0.15757575757575756,488414,2766,139,26,6,"['ENSG00000114126', 'ENSG00000122257', 'ENSG00000023287', 'ENSG00000013275', 'ENSG00000143799', 'ENSG00000106244']","['ENSG00000114126', 'ENSG00000122257', 'ENSG00000023287', 'ENSG00000013275', 'ENSG00000143799', 'ENSG00000106244', 'ENSG00000010256', 'ENSG00000106537', 'ENSG00000044115', 'ENSG00000126698']",0.18839988,fold_14
4.1,ann_finest_level,Neuroendocrine,159,0.1604032997250229,0.15021459227467812,0.22012578616352202,490988,198,124,35,6,"['ENSG00000079102', 'ENSG00000185420', 'ENSG00000242259', 'ENSG00000035141', 'ENSG00000135698', 'ENSG00000171603']","['ENSG00000079102', 'ENSG00000185420', 'ENSG00000242259', 'ENSG00000035141', 'ENSG00000135698', 'ENSG00000171603', 'ENSG00000128590', 'ENSG00000143799', 'ENSG00000106244', 'ENSG00000167085']",0.796353,fold_14
4.1,ann_finest_level,SMG serous (nasal),1472,0.2552204176334107,0.28540540540540543,0.1793478260869565,489212,661,1208,264,4,"['ENSG00000159231', 'ENSG00000128590', 'ENSG00000167085', 'ENSG00000106537']","['ENSG00000159231', 'ENSG00000128590', 'ENSG00000167085', 'ENSG00000106537']",0.11918518,fold_14
4.1,ann_finest_level,SMG serous (bronchial),1417,0.41076487252124644,0.5931818181818181,0.18419195483415668,489749,179,1156,261,2,"['ENSG00000167085', 'ENSG00000106537']","['ENSG00000167085', 'ENSG00000106537']",0.10998158,fold_14
4.1,ann_finest_level,SMG mucous,537,0.21158690176322417,0.23204419889502761,0.1564245810055866,490530,278,453,84,3,"['ENSG00000159231', 'ENSG00000106537', 'ENSG00000116171']","['ENSG00000159231', 'ENSG00000106537', 'ENSG00000116171', 'ENSG00000106400', 'ENSG00000182154']",0.11155694,fold_14
4.1,ann_finest_level,SMG duct,1274,0.01991887585107924,0.01623472460003542,0.21585557299843014,473407,16664,999,275,6,"['ENSG00000171603', 'ENSG00000138674', 'ENSG00000266412', 'ENSG00000082996', 'ENSG00000160752', 'ENSG00000145860']","['ENSG00000171603', 'ENSG00000138674', 'ENSG00000266412', 'ENSG00000082996', 'ENSG00000160752', 'ENSG00000145860', 'ENSG00000106537', 'ENSG00000126698', 'ENSG00000167085', 'ENSG00000010256']",0.07044615,fold_14
4.1,ann_finest_level,AT1,7937,0.4455558340358632,0.4351357365376057,0.49275544916215197,478331,5077,4026,3911,1,['ENSG00000106537'],['ENSG00000106537'],0.15339324,fold_14
4.1,ann_finest_level,AT2,31248,0.6683979974968711,0.8781550604291705,0.3418138760880696,458615,1482,20567,10681,2,"['ENSG00000119535', 'ENSG00000106537']","['ENSG00000119535', 'ENSG00000145860', 'ENSG00000160752', 'ENSG00000106537', 'ENSG00000044115', 'ENSG00000107372', 'ENSG00000116171', 'ENSG00000106400']",0.517616,fold_14
4.1,ann_finest_level,AT2 proliferating,976,0.152766308835673,0.15305067218200621,0.15163934426229508,489550,819,828,148,5,"['ENSG00000079616', 'ENSG00000173207', 'ENSG00000143799', 'ENSG00000160752', 'ENSG00000145860']","['ENSG00000079616', 'ENSG00000173207', 'ENSG00000013306', 'ENSG00000143799', 'ENSG00000160752', 'ENSG00000145860', 'ENSG00000106244', 'ENSG00000126698', 'ENSG00000106537', 'ENSG00000010256']",0.11844083,fold_14
